pc_unix,us_seq,frame_id,byte_offset
1788940368.142463,0,6,0
1788940368.234824,1,7,81920
1788940368.330907,2,8,163840
1788940368.439675,3,9,245760
1788940368.537296,4,10,327680
1788940368.635950,5,11,409600
1788940368.739296,6,12,491520
1788940368.832179,7,13,573440
1788940368.940054,8,14,655360
1788940369.031785,9,15,737280
1788940369.131586,10,0,819200
1788940369.231783,11,1,901120
1788940369.334555,12,2,983040
1788940369.432892,13,3,1064960
1788940369.531640,14,4,1146880
1788940369.642224,15,5,1228800
1788940369.732128,16,6,1310720
1788940369.836670,17,7,1392640
1788940369.932166,18,8,1474560
1788940370.033208,19,9,1556480
1788940370.131080,20,10,1638400
1788940370.234107,21,11,1720320
1788940370.338093,22,12,1802240
1788940370.434753,23,13,1884160
1788940370.529436,24,14,1966080
1788940370.637831,25,15,2048000
1788940370.740345,26,0,2129920
1788940370.831601,27,1,2211840
1788940370.937847,28,2,2293760
1788940371.038090,29,3,2375680
1788940371.133283,30,4,2457600
1788940371.238256,31,5,2539520
1788940371.324475,32,6,2621440
1788940371.439160,33,7,2703360
1788940371.530493,34,8,2785280
1788940371.642961,35,9,2867200
1788940371.737886,36,10,2949120
1788940371.843484,37,11,3031040
1788940371.939682,38,12,3112960
1788940371.972827,39,13,3194880
1788940372.141451,40,14,3276800
1788940372.236115,41,15,3358720
1788940372.341303,42,0,3440640
1788940372.440129,43,1,3522560
1788940372.538677,44,2,3604480
1788940372.634724,45,3,3686400
1788940372.733859,46,4,3768320
1788940372.824596,47,5,3850240
1788940372.935271,48,6,3932160
1788940373.031024,49,7,4014080
1788940373.131989,50,8,4096000
1788940373.233027,51,9,4177920
1788940373.328628,52,10,4259840
1788940373.423942,53,11,4341760
1788940373.535469,54,12,4423680
1788940373.640188,55,13,4505600
1788940373.727240,56,14,4587520
1788940373.837833,57,15,4669440
1788940373.932085,58,0,4751360
1788940374.027761,59,1,4833280
1788940374.122662,60,2,4915200
1788940374.237768,61,3,4997120
1788940374.332365,62,4,5079040
1788940374.440358,63,5,5160960
1788940374.536000,64,6,5242880
1788940374.631553,65,7,5324800
1788940374.726817,66,8,5406720
1788940374.837703,67,9,5488640
1788940374.933076,68,10,5570560
1788940375.029341,69,11,5652480
1788940375.145871,70,12,5734400
1788940375.236400,71,13,5816320
1788940375.332093,72,14,5898240
1788940375.427332,73,15,5980160
1788940375.522305,74,0,6062080
1788940375.633897,75,1,6144000
1788940375.732749,76,2,6225920
1788940375.824404,77,3,6307840
1788940375.935387,78,4,6389760
1788940376.030221,79,5,6471680
1788940376.135832,80,6,6553600
1788940376.236897,81,7,6635520
1788940376.341419,82,8,6717440
1788940376.434366,83,9,6799360
1788940376.529966,84,10,6881280
1788940376.625296,85,11,6963200
1788940376.736284,86,12,7045120
1788940376.831455,87,13,7127040
1788940376.938894,88,14,7208960
1788940377.031588,89,15,7290880
1788940377.127407,90,0,7372800
1788940377.243790,91,1,7454720
1788940377.335304,92,2,7536640
1788940377.431067,93,3,7618560
1788940377.534262,94,4,7700480
1788940377.637602,95,5,7782400
1788940377.733120,96,6,7864320
1788940377.828139,97,7,7946240
1788940377.939677,98,8,8028160
1788940378.034992,99,9,8110080
1788940378.130339,100,10,8192000
1788940378.239670,101,11,8273920
1788940378.337138,102,12,8355840
1788940378.432610,103,13,8437760
1788940378.532450,104,14,8519680
1788940378.638560,105,15,8601600
1788940378.734010,106,0,8683520
1788940378.845651,107,1,8765440
1788940378.928501,108,2,8847360
1788940379.036374,109,3,8929280
1788940379.131508,110,4,9011200
1788940379.242973,111,5,9093120
1788940379.279755,112,6,9175040
1788940379.432389,113,7,9256960
1788940379.537459,114,8,9338880
