model,patient_id,frame_index,cohort,dice,iou,hd95,assd,relative_area_error,pred_area,gt_area,status,temporal_dice,absent_transition_rate,track_break_rate,mask_dropout_rate
standard,P000,0,excluded,0.5900552486187846,0.41849529780564265,8.824191460594665,3.034138056205175,0.6005747126436781,557,348,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,1,excluded,0.5756613756613757,0.40416047548291234,8.154234499766936,3.061980005564683,0.7712609970674487,604,341,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,2,excluded,0.592814371257485,0.42127659574468085,7.810249675906654,3.1860482158833223,0.7228260869565217,634,368,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,3,excluded,0.574761399787911,0.40327380952380953,10.0,3.539180704763461,0.7020057306590258,594,349,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,4,excluded,0.5628140703517588,0.3916083916083916,9.273153625983817,3.60212992551912,0.8347578347578347,644,351,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,5,excluded,0.5532338308457712,0.38239339752407153,8.94427190999916,3.57797767892156,0.8470254957507082,652,353,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,6,excluded,0.5555555555555556,0.38461538461538464,8.6536172634861,3.5515726928440086,0.847457627118644,654,354,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,7,excluded,0.5338276181649676,0.3640960809102402,9.812655319667,3.788313494880492,0.9400544959128065,712,367,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,8,excluded,0.5730994152046783,0.4016393442622951,8.22781590094164,3.3745136763830756,0.7956403269754768,659,367,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,9,excluded,0.5937813440320963,0.4222539229671897,7.0710678118654755,2.958132068875599,0.739010989010989,633,364,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,10,excluded,0.6,0.42857142857142855,6.4031242374328485,2.691221694994222,0.7624309392265194,638,362,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,11,excluded,0.6041461006910168,0.4328147100424328,5.830951894845301,2.5478342568908485,0.782967032967033,649,364,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,12,excluded,0.5902912621359223,0.418732782369146,6.81033255612458,2.663639858064639,0.7540106951871658,656,374,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,13,excluded,0.608534322820037,0.43733333333333335,6.0,2.497135983888042,0.8219895287958116,696,382,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,14,excluded,0.6009302325581395,0.4295212765957447,5.656854249492381,2.5374800379205373,0.8067885117493473,692,383,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,15,excluded,0.5981132075471698,0.4266487213997308,5.830951894845301,2.576667922727699,0.8116710875331565,683,377,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,16,excluded,0.6079545454545454,0.43673469387755104,5.983095189484526,2.542415209251891,0.7716535433070866,675,381,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,17,excluded,0.5923217550274223,0.42077922077922075,6.324555320336759,2.700035196973179,0.8638743455497382,712,382,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,18,excluded,0.5656934306569343,0.3944020356234097,6.4031242374328485,2.8243450739419007,0.8994708994708994,718,378,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,19,excluded,0.5461323392357875,0.37564102564102564,7.0710678118654755,2.912454624447934,0.7654639175257731,685,388,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,20,excluded,0.5898876404494382,0.41832669322709165,6.324555320336759,2.6615909606656767,0.7525773195876289,680,388,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,21,excluded,0.5853658536585366,0.41379310344827586,6.324555320336759,2.698367216375247,0.7688311688311689,681,385,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,22,excluded,0.5470417070805044,0.376502002670227,6.83951216287465,2.871903653311199,0.8169398907103825,665,366,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,23,excluded,0.5693563009972802,0.3979721166032953,7.0710678118654755,2.9423518288724004,0.8282051282051283,713,390,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,24,excluded,0.5837145471180238,0.41214470284237725,6.4031242374328485,2.919386789186061,0.8025641025641026,703,390,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,25,excluded,0.5813282001924928,0.4097693351424695,6.324555320336759,2.713566401579796,0.741424802110818,660,379,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,26,excluded,0.6181455633100698,0.44733044733044736,5.656854249492381,2.504347105077373,0.6256544502617801,621,382,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,27,excluded,0.6566037735849056,0.4887640449438202,5.385164807134504,2.3766190000467105,0.6903553299492385,666,394,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,28,excluded,0.6794258373205742,0.5144927536231884,5.0,2.216244152830537,0.6059850374064838,644,401,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,29,excluded,0.6795224977043158,0.5146036161335188,5.0,2.281053511893011,0.5990453460620525,670,419,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,30,excluded,0.6904109589041096,0.5271966527196653,5.0,2.2247952828764,0.5584112149532711,667,428,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,31,excluded,0.699724517906336,0.538135593220339,4.242640687119285,2.2009708228770855,0.5384615384615384,660,429,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,32,excluded,0.6995433789954338,0.5379213483146067,5.0,2.2143876239587184,0.5230414746543779,661,434,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,33,excluded,0.6919602529358627,0.5290055248618785,5.0,2.2895991230017385,0.5159090909090909,667,440,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,34,excluded,0.6765734265734266,0.5112285336856011,5.385164807134504,2.4909734623089603,0.6118721461187214,706,438,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,35,excluded,0.6610169491525424,0.4936708860759494,5.656854249492381,2.741181895816181,0.639821029082774,733,447,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,36,excluded,0.6467165419783873,0.47788697788697787,5.830951894845301,2.887545228353807,0.6497797356828194,749,454,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,37,excluded,0.6386831275720165,0.46916565900846435,6.324555320336759,3.0404177290496217,0.6298701298701299,753,462,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,38,excluded,0.6405867970660146,0.4712230215827338,6.0,3.0638365562541896,0.5995762711864406,755,472,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,39,excluded,0.645324347093513,0.4763681592039801,6.706777147914241,3.041266641124533,0.4677754677754678,706,481,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,40,excluded,0.6557093425605537,0.4877734877734878,7.447941497572213,2.899896873411242,0.36400817995910023,667,489,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,41,excluded,0.6586620926243568,0.49104859335038364,7.175588850572996,2.8595970458270537,0.35080645161290325,670,496,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,42,excluded,0.6531332744924978,0.4849279161205767,9.40664642354146,3.018569633627124,0.25697211155378485,631,502,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,43,excluded,0.6369313113291704,0.46727748691099474,11.661903789690601,3.3297449857212063,0.1980392156862745,611,510,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,44,excluded,0.6156648451730419,0.44473684210526315,12.303578156856096,3.5694641975814285,0.14035087719298245,585,513,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,45,excluded,0.6152450090744102,0.4442988204456094,12.303578156856096,3.563429626910894,0.13152804642166344,585,517,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,46,excluded,0.6290322580645161,0.4588235294117647,12.606230194781201,3.4838806248652583,0.09774436090225563,584,532,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,47,excluded,0.6285714285714286,0.4583333333333333,13.057304963134975,3.5008701100575594,0.08955223880597014,584,536,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,48,excluded,0.6283185840707964,0.45806451612903226,12.580808158568013,3.485649013310558,0.08872458410351201,589,541,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,49,excluded,0.6190045248868778,0.44823066841415465,13.453420393746077,3.534608564163676,0.016423357664233577,557,548,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,50,excluded,0.6137377341659233,0.44272844272844275,14.013672915094455,3.7242642723338917,0.04189435336976321,572,549,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,51,excluded,0.580875781948168,0.4093198992443325,15.264337522473747,4.096583298308361,0.0017889087656529517,560,559,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,52,excluded,0.5908683974932856,0.4193138500635324,15.419592850483651,3.983129721920428,0.03345070422535211,549,568,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,53,excluded,0.5941499085923218,0.4226267880364109,15.999264618295006,4.001048849889304,0.06713780918727916,528,566,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,54,excluded,0.5978260869565217,0.4263565891472868,16.276702680239897,4.037972438624313,0.08,529,575,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,55,excluded,0.5382488479262673,0.3682219419924338,19.059946215305224,5.0410430553991015,0.08641975308641975,518,567,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,56,excluded,0.5308755760368664,0.3613550815558344,18.867962264113206,5.048997831175571,0.0659536541889483,524,561,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,57,excluded,0.5216622458001768,0.35287081339712917,18.867962264113206,5.219670561883024,0.012302284710017574,562,569,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,58,excluded,0.5180505415162455,0.34957369062119364,20.012422836565833,5.340483612280009,0.0595446584938704,537,571,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,59,excluded,0.5526770293609672,0.3818615751789976,18.369807202759805,4.824634077750851,0.07641196013289037,556,602,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,60,excluded,0.5613733905579399,0.3902147971360382,17.01175454637056,4.52690182961528,0.08702791461412152,556,609,ok,0.9621772086179419,0.0,0.0,0.0
standard,P000,61,excluded,0.5140845070422535,0.3459715639810427,20.634840519947947,5.509608021523585,0.11608623548922056,533,603,ok,0.9621772086179419,0.0,0.0,0.0
