pc_unix,us_seq,frame_id,byte_offset
1788940474.909669,0,2,0
1788940475.025614,1,3,81920
1788940475.125587,2,4,163840
1788940475.225540,3,5,245760
1788940475.320023,4,6,327680
1788940475.426224,5,7,409600
1788940475.525972,6,8,491520
1788940475.629855,7,9,573440
1788940475.726844,8,10,655360
1788940475.829707,9,11,737280
1788940475.929812,10,12,819200
1788940476.025786,11,13,901120
1788940476.126370,12,14,983040
1788940476.229721,13,15,1064960
1788940476.329816,14,0,1146880
1788940476.426642,15,1,1228800
1788940476.526861,16,2,1310720
1788940476.626788,17,3,1392640
1788940476.727410,18,4,1474560
1788940476.824362,19,5,1556480
1788940476.927507,20,6,1638400
1788940477.029369,21,7,1720320
1788940477.124679,22,8,1802240
1788940477.220120,23,9,1884160
1788940477.330153,24,10,1966080
1788940477.424531,25,11,2048000
1788940477.528382,26,12,2129920
1788940477.628349,27,13,2211840
1788940477.728537,28,14,2293760
1788940477.830827,29,15,2375680
1788940477.917068,30,0,2457600
1788940478.029051,31,1,2539520
1788940478.122443,32,2,2621440
1788940478.229217,33,3,2703360
1788940478.314271,34,4,2785280
1788940478.424591,35,5,2867200
1788940478.529976,36,6,2949120
1788940478.631346,37,7,3031040
1788940478.728202,38,8,3112960
1788940478.830508,39,9,3194880
1788940478.930437,40,10,3276800
1788940479.012056,41,11,3358720
1788940479.130813,42,12,3440640
1788940479.217540,43,13,3522560
1788940479.330709,44,14,3604480
1788940479.430698,45,15,3686400
1788940479.527611,46,0,3768320
1788940479.611923,47,1,3850240
1788940479.723237,48,2,3932160
1788940479.821130,49,3,4014080
1788940479.928705,50,4,4096000
1788940480.023826,51,5,4177920
1788940480.119578,52,6,4259840
1788940480.224535,53,7,4341760
1788940480.325549,54,8,4423680
1788940480.420060,55,9,4505600
1788940480.530925,56,10,4587520
1788940480.625845,57,11,4669440
1788940480.721180,58,12,4751360
1788940480.817100,59,13,4833280
1788940480.928117,60,14,4915200
1788940481.022766,61,15,4997120
1788940481.117555,62,0,5079040
1788940481.212777,63,1,5160960
1788940481.323845,64,2,5242880
1788940481.422873,65,3,5324800
1788940481.450717,66,4,5406720
1788940481.625351,67,5,5488640
1788940481.722692,68,6,5570560
1788940481.815187,69,7,5652480
1788940481.926989,70,8,5734400
1788940482.022599,71,9,5816320
1788940482.116444,72,10,5898240
1788940482.211809,73,11,5980160
1788940482.322863,74,12,6062080
1788940482.428380,75,13,6144000
1788940482.524670,76,14,6225920
1788940482.625010,77,15,6307840
1788940482.724586,78,0,6389760
1788940482.819706,79,1,6471680
1788940482.915428,80,2,6553600
1788940483.027386,81,3,6635520
1788940483.121073,82,4,6717440
1788940483.216487,83,5,6799360
1788940483.311961,84,6,6881280
1788940483.422882,85,7,6963200
1788940483.518825,86,8,7045120
1788940483.614417,87,9,7127040
1788940483.709971,88,10,7208960
1788940483.821172,89,11,7290880
1788940483.916622,90,12,7372800
1788940484.010828,91,13,7454720
1788940484.123084,92,14,7536640
1788940484.216602,93,15,7618560
1788940484.327641,94,0,7700480
1788940484.422994,95,1,7782400
1788940484.518825,96,2,7864320
1788940484.615187,97,3,7946240
1788940484.726837,98,4,8028160
1788940484.822598,99,5,8110080
1788940484.917915,100,6,8192000
1788940485.013675,101,7,8273920
1788940485.109209,102,8,8355840
1788940485.226809,103,9,8437760
1788940485.316455,104,10,8519680
1788940485.428039,105,11,8601600
1788940485.523766,106,12,8683520
1788940485.618143,107,13,8765440
1788940485.718065,108,14,8847360
1788940485.812500,109,15,8929280
1788940485.925608,110,0,9011200
1788940486.019974,111,1,9093120
1788940486.115572,112,2,9175040
1788940486.211344,113,3,9256960
1788940486.328763,114,4,9338880
1788940486.424545,115,5,9420800
1788940486.519882,116,6,9502720
1788940486.615592,117,7,9584640
1788940486.711197,118,8,9666560
1788940486.822259,119,9,9748480
1788940486.917175,120,10,9830400
1788940487.021855,121,11,9912320
1788940487.117367,122,12,9994240
1788940487.212488,123,13,10076160
1788940487.323715,124,14,10158080
1788940487.419004,125,15,10240000
1788940487.514714,126,0,10321920
1788940487.625988,127,1,10403840
1788940487.720980,128,2,10485760
1788940487.816492,129,3,10567680
1788940487.912054,130,4,10649600
1788940488.023017,131,5,10731520
1788940488.118610,132,6,10813440
1788940488.213963,133,7,10895360
1788940488.325115,134,8,10977280
1788940488.422086,135,9,11059200
1788940488.515592,136,10,11141120
1788940488.626718,137,11,11223040
1788940488.722407,138,12,11304960
1788940488.753967,139,13,11386880
1788940488.932864,140,14,11468800
1788940489.024764,141,15,11550720
1788940489.126261,142,0,11632640
1788940489.221521,143,1,11714560
1788940489.316009,144,2,11796480
1788940489.426945,145,3,11878400
1788940489.526906,146,4,11960320
1788940489.620036,147,5,12042240
1788940489.726865,148,6,12124160
1788940489.823177,149,7,12206080
1788940489.919162,150,8,12288000
1788940490.021622,151,9,12369920
1788940490.124613,152,10,12451840
1788940490.222435,153,11,12533760
1788940490.316561,154,12,12615680
1788940490.426607,155,13,12697600
1788940490.521784,156,14,12779520
1788940490.623486,157,15,12861440
1788940490.714891,158,0,12943360
1788940490.824254,159,1,13025280
1788940490.918835,160,2,13107200
1788940491.014226,161,3,13189120
1788940491.124890,162,4,13271040
1788940491.225442,163,5,13352960
1788940491.316743,164,6,13434880
1788940491.426809,165,7,13516800
1788940491.520943,166,8,13598720
1788940491.627800,167,9,13680640
1788940491.712292,168,10,13762560
1788940491.828006,169,11,13844480
1788940491.918448,170,12,13926400
1788940492.029183,171,13,14008320
1788940492.120225,172,14,14090240
1788940492.230019,173,15,14172160
1788940492.323022,174,0,14254080
1788940492.430485,175,1,14336000
1788940492.512849,176,2,14417920
1788940492.627799,177,3,14499840
1788940492.719252,178,4,14581760
1788940492.824919,179,5,14663680
1788940492.926568,180,6,14745600
1788940493.021225,181,7,14827520
1788940493.121242,182,8,14909440
1788940493.215915,183,9,14991360
1788940493.322743,184,10,15073280
1788940493.417681,185,11,15155200
1788940493.512348,186,12,15237120
1788940493.623348,187,13,15319040
1788940493.718259,188,14,15400960
1788940493.827478,189,15,15482880
1788940493.923583,190,0,15564800
1788940494.022435,191,1,15646720
1788940494.129470,192,2,15728640
1788940494.225060,193,3,15810560
1788940494.320655,194,4,15892480
1788940494.416331,195,5,15974400
1788940494.514090,196,6,16056320
1788940494.618215,197,7,16138240
1788940494.718574,198,8,16220160
1788940494.828968,199,9,16302080
1788940494.924565,200,10,16384000
1788940495.020638,201,11,16465920
1788940495.114633,202,12,16547840
1788940495.225953,203,13,16629760
1788940495.325090,204,14,16711680
1788940495.416963,205,15,16793600
1788940495.510373,206,0,16875520
1788940495.625124,207,1,16957440
1788940495.716084,208,2,17039360
1788940495.829071,209,3,17121280
1788940495.922553,210,4,17203200
1788940496.018459,211,5,17285120
1788940496.055650,212,6,17367040
1788940496.224348,213,7,17448960
1788940496.323199,214,8,17530880
1788940496.413360,215,9,17612800
1788940496.524705,216,10,17694720
1788940496.619627,217,11,17776640
1788940496.722318,218,12,17858560
1788940496.809237,219,13,17940480
1788940496.920390,220,14,18022400
1788940497.019654,221,15,18104320
1788940497.115511,222,0,18186240
1788940497.210706,223,1,18268160
1788940497.321507,224,2,18350080
1788940497.416497,225,3,18432000
1788940497.512215,226,4,18513920
1788940497.623772,227,5,18595840
1788940497.719710,228,6,18677760
1788940497.824701,229,7,18759680
1788940497.926409,230,8,18841600
1788940498.028251,231,9,18923520
1788940498.117757,232,10,19005440
1788940498.228978,233,11,19087360
1788940498.324871,234,12,19169280
1788940498.420495,235,13,19251200
1788940498.515917,236,14,19333120
1788940498.610436,237,15,19415040
