pc_unix,us_seq,frame_id,byte_offset
1788945785.079134,0,11,0
1788945785.181690,1,12,81920
1788945785.276755,2,13,163840
1788945785.377120,3,14,245760
1788945785.476726,4,15,327680
1788945785.563571,5,0,409600
1788945785.679038,6,1,491520
1788945785.778884,7,2,573440
1788945785.811363,8,3,655360
1788945785.979345,9,4,737280
1788945786.079245,10,5,819200
1788945786.179592,11,6,901120
1788945786.279245,12,7,983040
1788945786.378886,13,8,1064960
1788945786.479820,14,9,1146880
1788945786.575004,15,10,1228800
1788945786.678642,16,11,1310720
1788945786.776376,17,12,1392640
1788945786.875610,18,13,1474560
1788945786.966953,19,14,1556480
1788945787.078160,20,15,1638400
1788945787.185169,21,0,1720320
1788945787.276811,22,1,1802240
1788945787.380168,23,2,1884160
1788945787.482988,24,3,1966080
1788945787.571659,25,4,2048000
1788945787.679138,26,5,2129920
1788945787.777631,27,6,2211840
1788945787.885612,28,7,2293760
1788945787.985215,29,8,2375680
1788945788.077233,30,9,2457600
1788945788.186409,31,10,2539520
1788945788.282670,32,11,2621440
1788945788.388271,33,12,2703360
1788945788.478628,34,13,2785280
1788945788.583820,35,14,2867200
1788945788.679588,36,15,2949120
1788945788.778154,37,0,3031040
1788945788.873449,38,1,3112960
1788945788.982232,39,2,3194880
1788945789.077978,40,3,3276800
1788945789.180808,41,4,3358720
1788945789.274160,42,5,3440640
1788945789.378442,43,6,3522560
1788945789.481184,44,7,3604480
1788945789.585622,45,8,3686400
1788945789.675842,46,9,3768320
1788945789.779507,47,10,3850240
1788945789.879514,48,11,3932160
1788945789.975417,49,12,4014080
1788945790.077211,50,13,4096000
1788945790.172221,51,14,4177920
1788945790.283387,52,15,4259840
1788945790.382581,53,0,4341760
1788945790.478875,54,1,4423680
1788945790.569110,55,2,4505600
1788945790.683932,56,3,4587520
1788945790.774998,57,4,4669440
1788945790.874096,58,5,4751360
1788945790.965783,59,6,4833280
1788945791.082030,60,7,4915200
1788945791.178093,61,8,4997120
1788945791.280428,62,9,5079040
1788945791.377383,63,10,5160960
1788945791.473260,64,11,5242880
1788945791.585411,65,12,5324800
1788945791.682486,66,13,5406720
1788945791.775847,67,14,5488640
1788945791.873770,68,15,5570560
1788945791.965247,69,0,5652480
1788945792.085914,70,1,5734400
1788945792.187255,71,2,5816320
1788945792.275397,72,3,5898240
1788945792.378263,73,4,5980160
1788945792.487556,74,5,6062080
1788945792.568381,75,6,6144000
1788945792.679265,76,7,6225920
1788945792.779368,77,8,6307840
1788945792.874750,78,9,6389760
1788945792.964471,79,10,6471680
1788945793.075471,80,11,6553600
1788945793.107149,81,12,6635520
1788945793.271623,82,13,6717440
1788945793.377481,83,14,6799360
1788945793.480664,84,15,6881280
1788945793.576205,85,0,6963200
1788945793.680574,86,1,7045120
1788945793.784497,87,2,7127040
1788945793.874464,88,3,7208960
1788945793.967526,89,4,7290880
1788945794.078275,90,5,7372800
1788945794.173804,91,6,7454720
1788945794.274950,92,7,7536640
1788945794.379253,93,8,7618560
1788945794.474521,94,9,7700480
1788945794.569732,95,10,7782400
1788945794.678996,96,11,7864320
1788945794.776135,97,12,7946240
1788945794.881824,98,13,8028160
1788945794.973190,99,14,8110080
1788945795.082728,100,15,8192000
1788945795.169554,101,0,8273920
1788945795.282781,102,1,8355840
1788945795.372676,103,2,8437760
1788945795.478452,104,3,8519680
1788945795.580868,105,4,8601600
1788945795.685938,106,5,8683520
1788945795.785248,107,6,8765440
1788945795.876569,108,7,8847360
1788945795.971773,109,8,8929280
1788945796.074472,110,9,9011200
