pc_unix,us_seq,frame_id,byte_offset
1788939083.388816,0,14,0
1788939083.497881,1,15,81920
1788939083.589065,2,0,163840
1788939083.689211,3,1,245760
1788939083.789550,4,2,327680
1788939083.889526,5,3,409600
1788939083.994824,6,4,491520
1788939084.097071,7,5,573440
1788939084.191858,8,6,655360
1788939084.290302,9,7,737280
1788939084.395881,10,8,819200
1788939084.497540,11,9,901120
1788939084.590848,12,10,983040
1788939084.698841,13,11,1064960
1788939084.790856,14,12,1146880
1788939084.891095,15,13,1228800
1788939085.000164,16,14,1310720
1788939085.091200,17,15,1392640
1788939085.191457,18,0,1474560
1788939085.290213,19,1,1556480
1788939085.392941,20,2,1638400
1788939085.481892,21,3,1720320
1788939085.599092,22,4,1802240
1788939085.687037,23,5,1884160
1788939085.782676,24,6,1966080
1788939085.878477,25,7,2048000
1788939085.988408,26,8,2129920
1788939086.084367,27,9,2211840
1788939086.196306,28,10,2293760
1788939086.275941,29,11,2375680
1788939086.394057,30,12,2457600
1788939086.434627,31,13,2539520
1788939086.594395,32,14,2621440
1788939086.689273,33,15,2703360
1788939086.795009,34,0,2785280
1788939086.895219,35,1,2867200
1788939086.995416,36,2,2949120
1788939087.095712,37,3,3031040
1788939087.191197,38,4,3112960
1788939087.297901,39,5,3194880
1788939087.384700,40,6,3276800
1788939087.496415,41,7,3358720
1788939087.588986,42,8,3440640
1788939087.684389,43,9,3522560
1788939087.779886,44,10,3604480
1788939087.892221,45,11,3686400
1788939087.986916,46,12,3768320
1788939088.091294,47,13,3850240
1788939088.197290,48,14,3932160
1788939088.289674,49,15,4014080
1788939088.397702,50,0,4096000
1788939088.485822,51,1,4177920
1788939088.592943,52,2,4259840
1788939088.698067,53,3,4341760
1788939088.800178,54,4,4423680
1788939088.888188,55,5,4505600
1788939088.992710,56,6,4587520
1788939089.089500,57,7,4669440
1788939089.189718,58,8,4751360
1788939089.290419,59,9,4833280
1788939089.396834,60,10,4915200
1788939089.492909,61,11,4997120
1788939089.595797,62,12,5079040
1788939089.690699,63,13,5160960
1788939089.779203,64,14,5242880
1788939089.893502,65,15,5324800
1788939089.986348,66,0,5406720
1788939090.093549,67,1,5488640
1788939090.200033,68,2,5570560
1788939090.294906,69,3,5652480
1788939090.386626,70,4,5734400
1788939090.497074,71,5,5816320
1788939090.596030,72,6,5898240
1788939090.694453,73,7,5980160
1788939090.797561,74,8,6062080
1788939090.881449,75,9,6144000
1788939090.993118,76,10,6225920
1788939091.096410,77,11,6307840
1788939091.184146,78,12,6389760
1788939091.280935,79,13,6471680
1788939091.390569,80,14,6553600
1788939091.485080,81,15,6635520
1788939091.596040,82,0,6717440
1788939091.691882,83,1,6799360
1788939091.787888,84,2,6881280
1788939091.883554,85,3,6963200
1788939091.989746,86,4,7045120
1788939092.088663,87,5,7127040
1788939092.179872,88,6,7208960
1788939092.290428,89,7,7290880
1788939092.385161,90,8,7372800
1788939092.481280,91,9,7454720
1788939092.577357,92,10,7536640
1788939092.688647,93,11,7618560
1788939092.783105,94,12,7700480
1788939092.893898,95,13,7782400
1788939092.994689,96,14,7864320
1788939093.085161,97,15,7946240
1788939093.181101,98,0,8028160
1788939093.296816,99,1,8110080
1788939093.392832,100,2,8192000
1788939093.491215,101,3,8273920
1788939093.595628,102,4,8355840
1788939093.691506,103,5,8437760
1788939093.722988,104,6,8519680
1788939093.882002,105,7,8601600
1788939093.993469,106,8,8683520
1788939094.088729,107,9,8765440
1788939094.191458,108,10,8847360
1788939094.279121,109,11,8929280
1788939094.389985,110,12,9011200
1788939094.485016,111,13,9093120
1788939094.579894,112,14,9175040
1788939094.691482,113,15,9256960
1788939094.786935,114,0,9338880
1788939094.881920,115,1,9420800
1788939094.993032,116,2,9502720
1788939095.088506,117,3,9584640
1788939095.183912,118,4,9666560
1788939095.295218,119,5,9748480
1788939095.390098,120,6,9830400
1788939095.489717,121,7,9912320
1788939095.587310,122,8,9994240
1788939095.682324,123,9,10076160
1788939095.794892,124,10,10158080
1788939095.890265,125,11,10240000
1788939095.985536,126,12,10321920
1788939096.096569,127,13,10403840
1788939096.192312,128,14,10485760
1788939096.288491,129,15,10567680
1788939096.389536,130,0,10649600
1788939096.495456,131,1,10731520
1788939096.590682,132,2,10813440
1788939096.685927,133,3,10895360
1788939096.782248,134,4,10977280
1788939096.877899,135,5,11059200
1788939096.980732,136,6,11141120
1788939097.081012,137,7,11223040
1788939097.192821,138,8,11304960
1788939097.299210,139,9,11386880
1788939097.379174,140,10,11468800
1788939097.490615,141,11,11550720
1788939097.585740,142,12,11632640
