pc_unix,us_seq,frame_id,byte_offset
1788937738.898860,0,11,0
1788937739.011554,1,12,81920
1788937739.110574,2,13,163840
1788937739.206268,3,14,245760
1788937739.300447,4,15,327680
1788937739.399183,5,0,409600
1788937739.502252,6,1,491520
1788937739.599514,7,2,573440
1788937739.699266,8,3,655360
1788937739.798768,9,4,737280
1788937739.898795,10,5,819200
1788937739.999313,11,6,901120
1788937740.098707,12,7,983040
1788937740.200445,13,8,1064960
1788937740.311437,14,9,1146880
1788937740.405122,15,10,1228800
1788937740.501500,16,11,1310720
1788937740.605859,17,12,1392640
1788937740.706939,18,13,1474560
1788937740.803013,19,14,1556480
1788937740.899270,20,15,1638400
1788937741.007850,21,0,1720320
1788937741.108047,22,1,1802240
1788937741.205371,23,2,1884160
1788937741.295248,24,3,1966080
1788937741.407217,25,4,2048000
1788937741.502127,26,5,2129920
1788937741.597488,27,6,2211840
1788937741.702071,28,7,2293760
1788937741.809343,29,8,2375680
1788937741.900246,30,9,2457600
1788937742.006128,31,10,2539520
1788937742.101304,32,11,2621440
1788937742.196539,33,12,2703360
1788937742.305567,34,13,2785280
1788937742.403285,35,14,2867200
1788937742.498359,36,15,2949120
1788937742.609650,37,0,3031040
1788937742.705117,38,1,3112960
1788937742.805782,39,2,3194880
1788937742.896264,40,3,3276800
1788937743.006943,41,4,3358720
1788937743.101054,42,5,3440640
1788937743.195729,43,6,3522560
1788937743.307045,44,7,3604480
1788937743.401483,45,8,3686400
1788937743.497798,46,9,3768320
1788937743.607825,47,10,3850240
1788937743.702821,48,11,3932160
1788937743.812994,49,12,4014080
1788937743.908736,50,13,4096000
1788937744.005078,51,14,4177920
1788937744.100536,52,15,4259840
1788937744.196219,53,0,4341760
1788937744.307234,54,1,4423680
1788937744.402720,55,2,4505600
1788937744.502424,56,3,4587520
1788937744.596797,57,4,4669440
1788937744.705334,58,5,4751360
1788937744.800481,59,6,4833280
1788937744.842276,60,7,4915200
1788937744.997937,61,8,4997120
1788937745.109809,62,9,5079040
1788937745.198091,63,10,5160960
1788937745.305889,64,11,5242880
1788937745.404717,65,12,5324800
1788937745.512795,66,13,5406720
1788937745.603525,67,14,5488640
1788937745.707548,68,15,5570560
1788937745.799191,69,0,5652480
1788937745.908561,70,1,5734400
