pc_unix,dev_us,ax,ay,az,gx,gy,gz,mx_raw,my_raw,mz_raw,mx,my,mz,host_qw,host_qx,host_qy,host_qz,host_roll,host_pitch,host_yaw,chip_qw,chip_qx,chip_qy,chip_qz,chip_roll,chip_pitch,chip_yaw,diff_deg,rel_roll,rel_pitch,rel_yaw,cal_acc,cal_gyr,cal_mag,cal_rv
1788937738.8422139,3000340426.0,-9.6171875,0.8359375,-2.140625,0.0078125,-0.017578125,0.056640625,36.0625,-6.6875,-24.0,36.0625,-6.6875,-24.0,0.00046435926674106946,-0.7725512302724945,0.06902978543220943,0.6311887750095921,156.95928890945953,77.24302299589372,-28.7091013019371,0.445556640625,0.59552001953125,0.49517822265625,-0.44903564453125,156.7072938446005,77.44276825960323,60.72009172370022,0.8491601828733532,,,,3,0,3,3
1788937738.844167,3000344503.0,-9.58203125,0.875,-2.1015625,0.0078125,-0.017578125,0.056640625,36.0625,-6.6875,-24.0,36.0625,-6.6875,-24.0,0.0003766657171219661,-0.7725683019126142,0.06927820215028464,0.6311407194197041,156.8661068296893,77.22626633103603,-28.815496751492617,0.445556640625,0.59552001953125,0.49517822265625,-0.44903564453125,156.7072938446005,77.44276825960323,60.72009172370022,0.8388560750852934,,,,3,0,3,3
1788937738.8467693,3000347732.0,-9.58203125,0.875,-2.1015625,0.013671875,-0.0234375,0.0625,36.0625,-6.6875,-24.0,36.0625,-6.6875,-24.0,0.00031114435280634595,-0.7725761681722267,0.06948670979687832,0.6311082036569603,156.7887821524195,77.21350719433238,-28.904565172785222,0.445556640625,0.59552001953125,0.49517822265625,-0.44903564453125,156.7072938446005,77.44276825960323,60.72009172370022,0.8305809556702669,,,,3,0,3,3
1788937738.8478322,3000351792.0,-9.62109375,0.8359375,-2.0625,0.001953125,-0.02734375,0.0625,32.6875,-5.0625,-18.25,32.6875,-5.0625,-18.25,0.0002924412834933483,-0.7726194413192121,0.06950249209776946,0.631053497705134,156.7930714872305,77.20509524058899,-28.90008427906675,0.44573974609375,0.59564208984375,0.494873046875,-0.448974609375,156.51451050117691,77.42859792406308,60.510573281947146,1.165816312700551,,,,3,0,3,3
1788937738.8478322,3000355698.0,-9.62109375,0.875,-2.0625,0.013671875,-0.03125,0.064453125,32.6875,-5.0625,-18.25,32.6875,-5.0625,-18.25,0.00022010366120874808,-0.7726628295364587,0.0695831283665522,0.6309915147241012,156.76033903310025,77.191896248021,-28.93356784257393,0.44573974609375,0.59564208984375,0.494873046875,-0.448974609375,156.51451050117691,77.42859792406308,60.510573281947146,1.165322651958745,,,,3,0,3,3
1788937738.8598104,3000359728.0,-9.62109375,0.875,-2.0625,0.013671875,-0.03125,0.064453125,32.6875,-5.0625,-18.25,32.6875,-5.0625,-18.25,0.00015048845084349326,-0.7727077178861835,0.06965635951764511,0.6309284837848904,156.73118954167973,77.17886977096902,-28.963085282809956,0.44573974609375,0.59564208984375,0.494873046875,-0.448974609375,156.51451050117691,77.42859792406308,60.510573281947146,1.1653127622658086,,,,3,0,3,3
1788937738.8650854,3000363710.0,-9.62109375,0.8359375,-2.0625,0.015625,-0.033203125,0.064453125,33.0625,-4.0625,-17.75,33.0625,-4.0625,-17.75,0.00014737485391398212,-0.7726885901520512,0.06958577925613595,0.6309596978054972,156.74211165025483,77.18497660704217,-28.946112804868612,0.44598388671875,0.59576416015625,0.49462890625,-0.448974609375,156.34474808818962,77.46378485501143,60.34919336450961,0.0,,,,3,0,3,3
1788937738.8690784,3000367140.0,-9.66015625,0.8359375,-2.1015625,0.01171875,-0.04296875,0.06640625,33.0625,-4.0625,-17.75,33.0625,-4.0625,-17.75,0.00013839286356572271,-0.7726710230095871,0.06952832910555616,0.6309875454401004,156.74793639958241,77.1900405678768,-28.93483643054661,0.44598388671875,0.59576416015625,0.49462890625,-0.448974609375,156.34474808818962,77.46378485501143,60.34919336450961,0.0,,,,3,0,3,3
1788937738.8731627,3000371600.0,-9.6953125,0.8359375,-2.1015625,0.015625,-0.0390625,0.0625,32.375,-3.625,-18.1875,32.375,-3.625,-18.1875,0.00013285187469764607,-0.7726444910051109,0.06944547978643008,0.6310291579689997,156.75864511780853,77.19780266999535,-28.916868557416535,0.44622802734375,0.5958251953125,0.49432373046875,-0.44891357421875,156.1321193888747,77.45091925470071,60.12471393521906,0.8430368261617419,,,,3,0,3,3
1788937738.8748095,3000375706.0,-9.66015625,0.8359375,-2.1015625,0.009765625,-0.044921875,0.07421875,32.375,-3.625,-18.1875,32.375,-3.625,-18.1875,0.00010279530042329015,-0.7726134647203727,0.06938106405471786,0.6310742361375108,156.75382635281224,77.20460777009835,-28.913937128186298,0.44622802734375,0.5958251953125,0.49432373046875,-0.44891357421875,156.1321193888747,77.45091925470071,60.12471393521906,0.8444443244629914,,,,3,0,3,3
1788937738.8748095,3000379859.0,-9.65625,0.8359375,-2.140625,0.009765625,-0.044921875,0.07421875,32.375,-3.625,-18.1875,32.375,-3.625,-18.1875,7.09150804444894e-05,-0.7725931670407021,0.06932273216416293,0.6311054999113578,156.75052765934407,77.20933199792853,-28.909845088133743,0.44622802734375,0.5958251953125,0.49432373046875,-0.44891357421875,156.1321193888747,77.45091925470071,60.12471393521906,0.8463562942412309,,,,3,0,3,3
1788937738.8824155,3000382842.0,-9.6953125,0.8359375,-2.1015625,0.015625,-0.046875,0.072265625,32.5625,-5.25,-19.3125,32.5625,-5.25,-19.3125,5.796300717295964e-05,-0.7726081334953003,0.06940704777824971,0.6310779115259112,156.72849993475035,77.20272774506924,-28.93773525629071,0.44647216796875,0.59588623046875,0.49395751953125,-0.44891357421875,155.9075916167588,77.44278985776931,59.88086545271115,1.3028724940224383,,,,3,0,3,3
1788937738.8879647,3000387348.0,-9.73046875,0.8359375,-2.0625,0.017578125,-0.052734375,0.07421875,32.5625,-5.25,-19.3125,32.5625,-5.25,-19.3125,0.00010302547383613873,-0.7726090491810578,0.06949216407984396,0.6310674176669189,156.72257133911867,77.20045508933694,-28.95430381043662,0.44647216796875,0.59588623046875,0.49395751953125,-0.44891357421875,155.9075916167588,77.44278985776931,59.88086545271115,1.2997183913589307,,,,3,0,3,3
1788937738.8879647,3000390731.0,-9.6953125,0.8359375,-2.0625,0.017578125,-0.05859375,0.07421875,32.5625,-5.25,-19.3125,32.5625,-5.25,-19.3125,0.00012343156246433446,-0.7726076376613772,0.06956320611684409,0.6310613150452983,156.71053767110044,77.19829375878587,-28.973815052986044,0.44677734375,0.59600830078125,0.49359130859375,-0.448974609375,155.68227727270323,77.48412898069265,59.65521404216905,0.5340215180664712,,,,3,0,3,3
1788937738.8879647,3000394837.0,-9.6953125,0.8359375,-2.1015625,0.01171875,-0.06640625,0.072265625,32.5625,-5.25,-19.3125,32.5625,-5.25,-19.3125,0.00010679308564245436,-0.7726027814856119,0.06966325017185,0.6310562274563393,156.67593417134353,77.19408371823651,-29.015251037713583,0.44677734375,0.59600830078125,0.49359130859375,-0.448974609375,155.68227727270323,77.48412898069265,59.65521404216905,0.5235340213515215,,,,3,0,3,3
1788937738.8988595,3000399390.0,-9.7265625,0.796875,-2.0625,0.01171875,-0.06640625,0.072265625,32.5625,-5.25,-19.3125,32.5625,-5.25,-19.3125,0.00018589895585598303,-0.7725589841635112,0.06968720966210752,0.6311071812611005,156.6829174934364,77.20300052891675,-29.016631960871656,0.44677734375,0.59600830078125,0.49359130859375,-0.448974609375,155.68227727270323,77.48412898069265,59.65521404216905,0.5159968346618055,,,,3,0,3,3
1788937738.8988595,3000403150.0,-9.69921875,0.796875,-2.0625,0.013671875,-0.064453125,0.076171875,33.0,-6.4375,-20.6875,33.0,-6.4375,-20.6875,0.00014655547921450592,-0.7724885495132628,0.06998510343673223,0.6311604429060305,156.56364529689873,77.19989376044262,-29.157029019867245,0.44708251953125,0.59600830078125,0.49322509765625,-0.44903564453125,155.45107044683186,77.49644652357217,59.41293730633599,0.8558823945703332,,,,3,0,3,3
