pc_unix,us_seq,frame_id,byte_offset
1788945041.566499,0,15,0
1788945041.667458,1,0,81920
1788945041.765185,2,1,163840
1788945041.850120,3,2,245760
1788945041.960524,4,3,327680
1788945042.052840,5,4,409600
1788945042.151467,6,5,491520
1788945042.267260,7,6,573440
1788945042.363566,8,7,655360
1788945042.466769,9,8,737280
1788945042.566071,10,9,819200
1788945042.667081,11,10,901120
1788945042.767463,12,11,983040
1788945042.864588,13,12,1064960
1788945042.966017,14,13,1146880
1788945043.065391,15,14,1228800
1788945043.166132,16,15,1310720
1788945043.266554,17,0,1392640
1788945043.349116,18,1,1474560
1788945043.460261,19,2,1556480
1788945043.569418,20,3,1638400
1788945043.665623,21,4,1720320
1788945043.769930,22,5,1802240
1788945043.869015,23,6,1884160
1788945043.962631,24,7,1966080
1788945044.068333,25,8,2048000
1788945044.164186,26,9,2129920
1788945044.269093,27,10,2211840
1788945044.365904,28,11,2293760
1788945044.457691,29,12,2375680
1788945044.562347,30,13,2457600
1788945044.664296,31,14,2539520
1788945044.770087,32,15,2621440
1788945044.861913,33,0,2703360
1788945044.966596,34,1,2785280
1788945045.069618,35,2,2867200
1788945045.168341,36,3,2949120
1788945045.264009,37,4,3031040
1788945045.365945,38,5,3112960
1788945045.461862,39,6,3194880
1788945045.562726,40,7,3276800
1788945045.667625,41,8,3358720
1788945045.764471,42,9,3440640
1788945045.848626,43,10,3522560
1788945045.949569,44,11,3604480
1788945046.054154,45,12,3686400
1788945046.165824,46,13,3768320
1788945046.267461,47,14,3850240
1788945046.355340,48,15,3932160
1788945046.471449,49,0,4014080
1788945046.561411,50,1,4096000
1788945046.664202,51,2,4177920
1788945046.761552,52,3,4259840
1788945046.860255,53,4,4341760
1788945046.963692,54,5,4423680
1788945046.995732,55,6,4505600
1788945047.155921,56,7,4587520
1788945047.268653,57,8,4669440
1788945047.362059,58,9,4751360
1788945047.466381,59,10,4833280
1788945047.568584,60,11,4915200
1788945047.664942,61,12,4997120
1788945047.759573,62,13,5079040
1788945047.866120,63,14,5160960
1788945047.964050,64,15,5242880
1788945048.067841,65,0,5324800
1788945048.164800,66,1,5406720
1788945048.265744,67,2,5488640
1788945048.365690,68,3,5570560
1788945048.468464,69,4,5652480
1788945048.563450,70,5,5734400
1788945048.664682,71,6,5816320
1788945048.767734,72,7,5898240
1788945048.861665,73,8,5980160
1788945048.968397,74,9,6062080
1788945049.062874,75,10,6144000
1788945049.161306,76,11,6225920
1788945049.267472,77,12,6307840
1788945049.361697,78,13,6389760
1788945049.464607,79,14,6471680
1788945049.561332,80,15,6553600
1788945049.663108,81,0,6635520
1788945049.770415,82,1,6717440
1788945049.847146,83,2,6799360
1788945049.960724,84,3,6881280
1788945050.066738,85,4,6963200
1788945050.156839,86,5,7045120
1788945050.263276,87,6,7127040
1788945050.366678,88,7,7208960
1788945050.450230,89,8,7290880
1788945050.548819,90,9,7372800
1788945050.663519,91,10,7454720
1788945050.765755,92,11,7536640
1788945050.866769,93,12,7618560
1788945050.960956,94,13,7700480
1788945051.062888,95,14,7782400
1788945051.160427,96,15,7864320
1788945051.266144,97,0,7946240
1788945051.360266,98,1,8028160
1788945051.465582,99,2,8110080
1788945051.564108,100,3,8192000
1788945051.665870,101,4,8273920
1788945051.764109,102,5,8355840
1788945051.860447,103,6,8437760
1788945051.949360,104,7,8519680
1788945052.060314,105,8,8601600
1788945052.166711,106,9,8683520
1788945052.267986,107,10,8765440
1788945052.367617,108,11,8847360
1788945052.461415,109,12,8929280
1788945052.563325,110,13,9011200
1788945052.661683,111,14,9093120
1788945052.763018,112,15,9175040
1788945052.861702,113,0,9256960
1788945052.966943,114,1,9338880
1788945053.063380,115,2,9420800
1788945053.163939,116,3,9502720
1788945053.265336,117,4,9584640
1788945053.360745,118,5,9666560
1788945053.463732,119,6,9748480
1788945053.561230,120,7,9830400
1788945053.666139,121,8,9912320
1788945053.761093,122,9,9994240
1788945053.864375,123,10,10076160
1788945053.967693,124,11,10158080
