pc_unix,us_seq,frame_id,byte_offset
1788939926.851047,0,10,0
1788939926.954006,1,11,81920
1788939927.053227,2,12,163840
1788939927.146744,3,13,245760
1788939927.249131,4,14,327680
1788939927.352795,5,15,409600
1788939927.445062,6,0,491520
1788939927.539149,7,1,573440
1788939927.638313,8,2,655360
1788939927.751471,9,3,737280
1788939927.851647,10,4,819200
1788939927.946308,11,5,901120
1788939928.050574,12,6,983040
1788939928.150107,13,7,1064960
1788939928.255272,14,8,1146880
1788939928.352230,15,9,1228800
1788939928.452234,16,10,1310720
1788939928.545126,17,11,1392640
1788939928.647133,18,12,1474560
1788939928.752880,19,13,1556480
1788939928.853760,20,14,1638400
1788939928.947978,21,15,1720320
1788939929.044948,22,0,1802240
1788939929.148751,23,1,1884160
1788939929.236728,24,2,1966080
1788939929.352342,25,3,2048000
1788939929.448056,26,4,2129920
1788939929.548737,27,5,2211840
1788939929.645288,28,6,2293760
1788939929.737832,29,7,2375680
1788939929.851510,30,8,2457600
1788939929.936297,31,9,2539520
1788939930.036896,32,10,2621440
1788939930.153600,33,11,2703360
1788939930.244378,34,12,2785280
1788939930.337604,35,13,2867200
1788939930.437121,36,14,2949120
1788939930.553850,37,15,3031040
1788939930.637385,38,0,3112960
1788939930.737475,39,1,3194880
1788939930.833062,40,2,3276800
1788939930.949081,41,3,3358720
1788939931.052481,42,4,3440640
1788939931.154161,43,5,3522560
1788939931.239116,44,6,3604480
1788939931.337712,45,7,3686400
1788939931.448285,46,8,3768320
1788939931.536206,47,9,3850240
1788939931.644360,48,10,3932160
1788939931.751348,49,11,4014080
1788939931.836788,50,12,4096000
1788939931.937879,51,13,4177920
1788939932.051359,52,14,4259840
1788939932.139734,53,15,4341760
1788939932.250593,54,0,4423680
1788939932.345158,55,1,4505600
1788939932.449674,56,2,4587520
1788939932.544388,57,3,4669440
1788939932.646182,58,4,4751360
1788939932.750205,59,5,4833280
1788939932.841988,60,6,4915200
1788939932.953076,61,7,4997120
1788939933.052070,62,8,5079040
1788939933.145963,63,9,5160960
1788939933.248898,64,10,5242880
1788939933.353374,65,11,5324800
1788939933.447018,66,12,5406720
1788939933.548637,67,13,5488640
